,artist_id,ordered,n_ratings_train,median_ratings_train,n_ratings_test,median_ratings_test,ordered_id
0,11485,1,78,1.3862943611198906,9,2.3978952727983707,0
1,19282,2,15,1.0986122886681098,5,1.0986122886681098,1
2,3328,3,62,1.7005986908310777,5,1.3862943611198906,2
3,3039,4,77,1.9459101490553128,16,1.3862943611198906,3
4,5242,5,79,1.3862943611198906,6,0.8958797346140275,4
5,44406,6,17,2.0794415416798357,4,1.6661022550876017,5
6,723,7,435,2.302585092994046,53,2.5649493574615367,6
7,814,8,155,1.791759469228055,21,1.9459101490553128,7
8,3961,9,347,2.5649493574615367,51,2.4849066497880004,8
9,6960,10,80,1.6094379124341005,9,1.3862943611198906,9
10,2100,11,67,1.6094379124341005,12,1.7005986908310777,10
11,3266,12,54,1.3862943611198906,2,1.868834809141684,11
12,896,13,140,1.3862943611198906,18,1.0986122886681098,12
13,2266,14,253,2.19722457733622,31,2.19722457733622,13
14,14572,15,27,1.0986122886681098,4,1.965912816362163,14
15,2372,16,92,1.3862943611198906,5,1.6094379124341005,15
16,19059,17,43,1.3862943611198906,3,0.6931471805599453,16
17,37749,18,10,1.791759469228055,1,3.0910424533583165,17
18,698,19,404,2.4414009612931853,35,1.9459101490553128,18
19,11164,20,12,0.6931471805599453,2,2.967447097809794,19
20,2105,21,223,1.3862943611198906,28,1.7005986908310777,20
21,1544,22,213,1.791759469228055,25,1.3862943611198906,21
22,1370,23,140,1.3862943611198906,21,1.791759469228055,22
23,37,24,394,2.4849066497880004,54,2.673553765358734,23
24,43595,25,11,1.3862943611198906,1,1.0986122886681098,24
25,11260,26,29,0.6931471805599453,2,2.0715673631957667,25
26,7779,27,54,1.0986122886681098,8,1.5890269151739727,26
27,1280,28,221,1.791759469228055,18,0.8958797346140275,27
28,3245,29,240,2.138333059508028,26,2.249904835165133,28
29,25910,30,41,1.0986122886681098,6,0.8958797346140275,29
30,21873,31,28,1.0986122886681098,3,1.0986122886681098,30
31,879,32,67,1.9459101490553128,11,1.6094379124341005,31
32,7923,33,12,1.2424533248940002,1,0.6931471805599453,32
33,16481,34,42,1.868834809141684,7,0.6931471805599453,33
34,8306,35,157,1.3862943611198906,29,1.6094379124341005,34
35,7932,36,187,1.3862943611198906,19,1.3862943611198906,35
36,88424,37,1,1.6094379124341005,1,4.59511985013459,36
37,8509,38,20,1.0986122886681098,5,1.0986122886681098,37
38,3580,39,125,1.9459101490553128,21,1.6094379124341005,38
39,3458,40,76,1.7005986908310777,5,1.3862943611198906,39
40,16785,41,20,1.0986122886681098,5,1.0986122886681098,40
41,16344,42,40,1.4978661367769956,10,1.6094379124341005,41
42,175313,43,0,0.0,1,4.248495242049359,42
43,14985,44,19,0.6931471805599453,2,0.8958797346140275,43
44,686,45,259,1.6094379124341005,31,2.3978952727983707,44
45,162383,46,0,0.0,1,4.0943445622221,45
46,50677,47,14,3.1771850203986753,1,2.302585092994046,46
47,4395,48,171,1.3862943611198906,27,1.0986122886681098,47
48,707,49,305,2.19722457733622,34,1.9356005054539454,48
49,1936,50,482,2.3978952727983707,56,2.3502401828962083,49
50,23708,51,19,1.3862943611198906,5,2.302585092994046,50
51,2038,52,100,1.3862943611198906,11,1.9459101490553128,51
52,1475,53,48,1.7005986908310777,7,1.0986122886681098,52
53,25960,54,20,1.3540251005511053,5,1.0986122886681098,53
54,9976,55,7,1.3862943611198906,2,2.8919125911648687,54
55,696,56,283,2.3978952727983707,26,2.249904835165133,55
56,825,57,315,2.19722457733622,43,2.19722457733622,56
57,1682,58,175,1.6094379124341005,15,1.0986122886681098,57
58,920,59,279,2.0794415416798357,30,2.0794415416798357,58
59,1098,60,404,2.9174053685313024,53,2.8332133440562166,59
60,1981,61,114,1.4978661367769956,12,1.6094379124341005,60
61,1377,62,160,1.3862943611198906,18,1.0986122886681098,61
62,11393,63,127,1.0986122886681098,16,1.0986122886681098,62
63,8302,64,67,1.791759469228055,5,0.6931471805599453,63
64,65170,65,11,1.0986122886681098,4,0.8958797346140275,64
65,2158,66,144,1.7005986908310777,19,2.7080502011022096,65
66,466,67,121,1.3862943611198906,10,2.0794415416798357,66
67,1282,68,193,1.6094379124341005,23,1.791759469228055,67
68,9575,69,48,1.7005986908310777,7,0.6931471805599453,68
69,17401,70,58,1.0986122886681098,4,2.596478425445105,69
70,14959,71,25,1.0986122886681098,6,0.8958797346140275,70
71,27091,72,19,1.0986122886681098,3,1.0986122886681098,71
72,3509,73,182,1.791759469228055,22,1.868834809141684,72
